Company,Tax Name,Filed By
Premier Pharmacy and Wellness Center LLC,,
Fluent Forever,,
"Stampede Excursions, LLC",,
Crunchsters Inc.,,
Hoffer Photography,,
Stalwart Strategies,,
"Credly, Inc.",,
"BuildZoom, Inc",,
"Tara Newman Coaching, Inc.",,
ADVERTISING CLUB OF SAN DIEGO,,
"TRUE LEE LOUDSPEAKERS, LLC",,
Afia Inc,,
Blitz Studios,,
CTCHGC LLC.,,
Falah Trade & Investments Inc.,,
Big Chickie Inc,WA Family and Medical Leave Insurance (Employee),PF
Palisades Parks Conservancy,,
Swell Education Group,,
"Couchsurfing International, Inc.",,
"J. Clark Baird, PLLC",,
CL Consulting,,
CodeHS,OR Special Payroll Tax Offset,MT
"New Learning Ventures, Inc.",,
"Iron Batteries, Inc.",,
ALLOCATE INC,,
DAV Energy Solutions Inc.,,
"Harner Music, Inc.",,
Hexagramm Us LLC,,
BravePoetry PLLC,,
2RHawkins LLC,,
Axispoint LLC,,
"NetDiverse, LLC",,
"Onboard Dynamics, Inc.",OR State Unemployment Insurance Tax,MT
"Onboard Dynamics, Inc.",OR Special Payroll Tax Offset,MT
"Liberty Communities, LLC",,
Earl Law Group PLLC,,
"CPQ Solutions, LLC",,
"Hedlund Tax and Accounting, PLLC",,
VIRGINIA WINEWORKS LLC,,
Creating Space Counseling,,
Tacoma Center Building,WA Family and Medical Leave Insurance (Employee),PF
H E A T AND GO,,
Pilchard & Co.,,
Staffing Referrals Inc.,,
"Darrell Prestridge DO, PC",,
informu Inc.,,
"Jacobson Financial Services, LLC",,
Owned Outcomes Inc.,,
VIATechnik LLC,,
Sweat Performance,,
Accelo Inc.,,
"KCH & Co, P.C.",Social Security,PF
"KCH & Co, P.C.",Employer Social Security,PF
"KCH & Co, P.C.",Medicare,PF
"KCH & Co, P.C.",Employer Medicare Tax,PF
"KCH & Co, P.C.",Additional Medicare,PF
"KCH & Co, P.C.",NY Family Leave Insurance,MT
RISE & SET LLC,Social Security,PF
RISE & SET LLC,Employer Social Security,PF
RISE & SET LLC,Medicare,PF
RISE & SET LLC,Employer Medicare Tax,PF
RISE & SET LLC,New York State Unemployment Tax,MT
RISE & SET LLC,New York Reemployment Fund,MT
RISE & SET LLC,Additional Medicare,PF
"Stand Up 236, LLC.",,
Golden State GR,,
Blue Hall Capital,,
The Huneycutt Group,,
Crossroads Management,Federal Income Tax,PF
Crossroads Management,Social Security,PF
Crossroads Management,Employer Social Security,PF
Crossroads Management,Medicare,PF
Crossroads Management,Employer Medicare Tax,PF
Crossroads Management,Federal Unemployment Tax,PF
Crossroads Management,NJ State Unemployment Tax,MT
Crossroads Management,NJ Workforce Development/Supplemental Work Force,MT
Crossroads Management,New Jersey State Unemployment Insurance,MT
Crossroads Management,NJ Family Leave Insurance,MT
Crossroads Management,New Jersey State Disability Insurance,MT
Crossroads Management,New Jersey Employer SDI,MT
Crossroads Management,New Jersey State Tax,MT
Crossroads Management,Additional Medicare,PF
informu Inc.,,
Sealed Inc.,,
Kunda's Scenic Landscapes LLC,,
Empowered By You,Federal Income Tax,PF
Empowered By You,Social Security,PF
Empowered By You,Employer Social Security,PF
Empowered By You,Medicare,PF
Empowered By You,Employer Medicare Tax,PF
Empowered By You,Federal Unemployment Tax,PF
Empowered By You,New York State Unemployment Tax,PF
Empowered By You,New York Reemployment Fund,PF
Empowered By You,NY State Disability Insurance (SDI),MT
Empowered By You,New York State Withholdings Tax,PF
Empowered By You,New York City Tax,PF
Empowered By You,Additional Medicare,PF
Pipsnacks LLC,,
1st Avenue Driving School,,
"Lower River Services, Inc.",,
Thunder Home Health Services LLC,,
Good World Communications,,
NEXSMART,,
LVRN Records LLC,,
"Badger Maps, Inc",,
Trio Marketing Branding Advertising,,
"Calee Management, Inc",,
"Kuli Kuli, Inc.",,
"Arcus Data, LLC",WA Family and Medical Leave Insurance (Employee),MT
"Arcus Data, LLC",Washington State Unemployment Tax,PF
"Arcus Data, LLC",Washington Employment Admin Fund,PF
"Arcus Data, LLC",Washington Workers' Comp Insurance - Employee,PF
"Arcus Data, LLC",Washington Workers' Comp Insurance - Employer,PF
"Five Solas, LLC",,
EVER88 LLC,,
Propelland USA Inc.,,
"My Exit Strategy, Inc.",,
"Good & Co Labs, Inc.",,
"Callinize, Inc",,
Rank One Computing Corporation,,
"Jose M Baez, MD, LLC",,
NanoSemi Inc.,,
"Moss Pink, LLC",,
"INTEGRAL CHIROPRACTIC N.Y.C., P.L.L.C.",,
New York Puzzle Company LLC,Additional Medicare,PF
New York Puzzle Company LLC,East Lampeter (Township) Conestoga Valley School District EIT,MT
New York Puzzle Company LLC,East Lampeter (Township) Conestoga Valley School District LST,MT
"Iterable, Inc",,
Global Travel Solutions Group,New York State Unemployment Tax,PF
Global Travel Solutions Group,New York Reemployment Fund,PF
Global Travel Solutions Group,New York City Tax,PF
Global Travel Solutions Group,Massachusetts State Tax,MT
Fairwater Ventures LLC,,
Qualia Labs Inc,,
Evernex USA Inc.,New York State Unemployment Tax,PF
Evernex USA Inc.,New York Reemployment Fund,PF
Evernex USA Inc.,NY State Disability Insurance (SDI),MT
Evernex USA Inc.,New York State Withholdings Tax,PF
Evernex USA Inc.,New York City Tax,PF
Evernex USA Inc.,Illinois State Unemployment Tax,PF
Evernex USA Inc.,Illinois State Tax,PF
"Sawyer & Company, Inc.",,
ArtJamz LLC,,
Fitness Cubed Inc,,
"RE2 Properties, LLC",,
Good Money Group LLC,,
datacoral Inc,,
Sioux Corporation,,
"Hustle, Inc.",New York State Unemployment Tax,MT
"Hustle, Inc.",New York Reemployment Fund,MT
Face to Face Pro,,
"PharmWerks, Inc",,
2550 Ashland LLC dba Chicago Yacht Works,,
Telcom Corporation,Michigan State Unemployment Tax,MT
Telcom Corporation,Michigan Obligation Assessment Tax,MT
"Midtown Doornail, Inc.",,
"Michael Coughlin DDS, PLLC",,
"BlueStar Service Solutions, Inc.",,
Wonolo Inc,,
"Hinge Health, Inc.",,
Life-FX Products LLC,,
"Nam & Huh Law Group, P. C.",,
Patti Abbott,WA Family and Medical Leave Insurance (Employee),PF
East Coast Product Inc,,
Aozora Gakuen LLC,,
Untitled Art Gallery LLC,,
"DSSV, Inc.",,
"Law Office of Ify Odunukwe, PLLC.",,
UpLift Inc,,
Bilge Sense LLC,,
SlideRule Labs Inc.,,
"Solchroma Technologies, Inc.",,
"Blue Devil Holdings, LLC",,
"Quick Lot, LLC",,
"Flyreel, Inc.",Colorado State Unemployment Insurance Tax,MT
"Flyreel, Inc.",Colorado State Withholding Tax,MT
"Flyreel, Inc.","Denver OPT, for employees",MT
"Flyreel, Inc.","Denver OPT, for employers",MT
"Flyreel, Inc.",Additional Medicare,PF
"Flyreel, Inc.",California State Tax,PF
"Flyreel, Inc.",California State Unemployment Tax,PF
"Flyreel, Inc.",California Employment Training Tax,PF
"Flyreel, Inc.",CA state disability insurance,PF
Subspace Inc.,WA Family and Medical Leave Insurance (Employee),PF
Hotopp Associates Limited,WA Family and Medical Leave Insurance (Employee),PF
"Upsolve, Inc.",Federal Income Tax,PF
"Upsolve, Inc.",Social Security,PF
"Upsolve, Inc.",Employer Social Security,PF
"Upsolve, Inc.",Medicare,PF
"Upsolve, Inc.",Employer Medicare Tax,PF
"Upsolve, Inc.",Federal Unemployment Tax,PF
"Upsolve, Inc.",New York State Unemployment Tax,PF
"Upsolve, Inc.",New York Reemployment Fund,PF
"Upsolve, Inc.",New York State Withholdings Tax,PF
"Upsolve, Inc.",Additional Medicare,PF
"Upsolve, Inc.",New York City Tax,PF
"Omnee, Inc.",,
"Alpha Fire Company #1, Inc.",,
"Dignitas Advisors, LLC",,
Cale Financial Management Inc.,,
Soluna Labs Inc.,,
Ruckit Inc,,
"Miller Farm Goods, LLC",Federal Income Tax,PF
"Miller Farm Goods, LLC",Arizona State Unemployment Tax,MT
"Miller Farm Goods, LLC",Arizona State Tax,MT
John Dockstader,,
"AirMap, Inc",,
Puget Sound Plastic Surgical Group,,
"The Eleva Group, LLC",,
Blue Star Learning Inc.,,
Orbital Micro Systems Inc,,
"PassiveLogic, Inc.",,
Baby & Company Acquisition Corporation,Federal Income Tax,PF
Baby & Company Acquisition Corporation,Social Security,PF
Baby & Company Acquisition Corporation,Employer Social Security,PF
Baby & Company Acquisition Corporation,Medicare,PF
Baby & Company Acquisition Corporation,Employer Medicare Tax,PF
Baby & Company Acquisition Corporation,Federal Unemployment Tax,PF
Baby & Company Acquisition Corporation,Washington State Unemployment Tax,PF
Baby & Company Acquisition Corporation,Washington Employment Admin Fund,PF
Baby & Company Acquisition Corporation,Washington Workers' Comp Insurance - Employee,PF
Baby & Company Acquisition Corporation,Washington Workers' Comp Insurance - Employer,PF
Baby & Company Acquisition Corporation,Additional Medicare,PF
Baby & Company Acquisition Corporation,WA Family and Medical Leave Insurance (Employee),MT
Tzer0,,
"Seller Labs, LLC",,
Cutting Edge Marketing Inc,,
Hopsy,,
Blackrock Home Design LLC,,
UpLift Inc,,
"Blavity, Inc.",,
"Eddins Counseling Group, PLLC",,
"Joe Mertz Production Consulting, LLC",,
KnewtonX Inc,,
"Gene to BLA Consulting, LLC",,
Prestwick Holdings LLC,,
"Cape Analytics, Inc",,
Powers Energy Solutions LLC,,
"Knock, Inc.",Federal Income Tax,PF
"Knock, Inc.",Social Security,PF
"Knock, Inc.",Employer Social Security,PF
"Knock, Inc.",Medicare,PF
"Knock, Inc.",Employer Medicare Tax,PF
"Knock, Inc.",Federal Unemployment Tax,PF
"Knock, Inc.",Washington State Unemployment Tax,PF
"Knock, Inc.",Washington Employment Admin Fund,PF
"Knock, Inc.",Washington Workers' Comp Insurance - Employee,PF
"Knock, Inc.",Washington Workers' Comp Insurance - Employer,PF
"Knock, Inc.",Additional Medicare,PF
"Knock, Inc.",WA Family and Medical Leave Insurance (Employee),PF
"Knock, Inc.",WA Family and Medical Leave Insurance (Employer),PF
"Knock, Inc.",California State Tax,PF
"Knock, Inc.",California State Unemployment Tax,PF
"Knock, Inc.",California Employment Training Tax,PF
"Knock, Inc.",CA state disability insurance,PF
"Knock, Inc.",Texas State Unemployment Tax,PF
"Knock, Inc.",Virginia Income Tax,MT
"Knock, Inc.",Virginia Unemployment Insurance Tax,MT
"Knock, Inc.",Florida State Unemployment Tax,MT
"Knock, Inc.",Georgia State Unemployment Tax,MT
"Knock, Inc.",Georgia Administrative Assessment Tax,MT
"Knock, Inc.",Georgia State Tax,MT
Kwansoo Lee DDS PLLC,WA Family and Medical Leave Insurance (Employee),PF
Ballas Dental Care LLC,,
"The National Film Preserve, Ltd.",,
"Transparent Financial Systems, Inc",,
Leafceuticals Inc,,
CompactCath Inc.,,
"Proplanco Management Company, LLC",,
"Artyllect, Inc.",,
Lysandra LLC,Massachusetts Workforce Training Fund,MT
Groq Inc.,,
"Sila Nanotechnologies, Inc.",,
"Big Fish Digital, Inc.",,
Next Level Church,Social Security,PF
Next Level Church,Employer Social Security,PF
Next Level Church,Medicare,PF
Next Level Church,Employer Medicare Tax,PF
Next Level Church,Massachusetts State Unemployment Tax,MT
Next Level Church,Massachusetts State Tax,MT
Next Level Church,Additional Medicare,PF
Jungla Inc.,,
"Healthcare Compliance Pros, LLC",,
Tribal Bishop LLC,,
"Tocca, Inc",,
Archiclad US LLC,,
Life-FX Products LLC,,
Indio Technologies Inc,,
BeOffice LLC,,
"PocketChange, Inc.",,
Roman Health Ventures Inc.,,
JUSTIN BEAN INSURANCE SERVICES INC,,
88 Freight LLC,,
Educative Inc,,
uBiome,California State Tax,PF
uBiome,California State Unemployment Tax,PF
uBiome,CA state disability insurance,PF
uBiome,New York State Unemployment Tax,PF
uBiome,New York Reemployment Fund,PF
uBiome,NY State Disability Insurance (SDI),MT
"Metrocrest Merchant Services, Inc",,
Flowcast Inc.,,
"Studypool, Inc.",,
"REscan, Inc",,
"Julie Gilhart Consulting, Inc.",,
MODESENS INC,,
SupperBell Inc,,
"Elite Airport Parking, LLC",,
BreakoutBit Inc,,
Augmate Corporation,,
AV PAINTING LLC,,
Anderson Online LLC,Iowa Unemployment Insurance Tax,MT
"Diaspora, Inc.",,
FDMR Corporation,,
Sprague PLLC,,
"miR Scientific, LLC",,
Home Tech Innovation Inc,,
Maria Moraca Inc,,
FSC Barber LLC,,
Denver Center for Birth and Wellness LLC,,
"Metro Tile Associates, Inc.",,
"Creative Market Labs, Inc.",WA Family and Medical Leave Insurance (Employee),PF
Viralnet LLC,,
"CaptainU, LLC",,
Wiregrass Church,,
"Flock IS, Inc",,
Julie Starkel Nutrition LLC,WA Family and Medical Leave Insurance (Employee),PF
Particle Inc,,
Stellar Cyber Inc,,
"The Bronx Brewery, LLC",,
Jeff Ward Insurance Agency Inc,,
"The Great Spirits Baking Company, LLC",,
"BitAlign, Inc.",,
Cloverleaf LLC,,
"Embrace, Inc.",,
"Kendall Bergstrom, PC",,
Grow Compost of Vermont LLC,,
Convoy Inc.,,
Associated Consulting Services LLC,,
"Quinlan Partners, LLC",,
XMotors.ai Inc.,,
Madruga Bakery,,
Neatly Technologies Inc,,
"LTG Exam Prep Platform, INC.",Federal Income Tax,PF
"LTG Exam Prep Platform, INC.",Social Security,PF
"LTG Exam Prep Platform, INC.",Employer Social Security,PF
"LTG Exam Prep Platform, INC.",Medicare,PF
"LTG Exam Prep Platform, INC.",Employer Medicare Tax,PF
"LTG Exam Prep Platform, INC.",Federal Unemployment Tax,PF
"LTG Exam Prep Platform, INC.",Massachusetts State Tax,MT
"LTG Exam Prep Platform, INC.",Additional Medicare,PF
"Allee Creative, LLC",Minnesota Unemployment Insurance Tax,MT
"Allee Creative, LLC",Minnesota State Unemployment Insurance Surcharge,MT
First Sail Group Inc.,WA Family and Medical Leave Insurance (Employee),PF
Wardrobe LLC,Federal Income Tax,PF
Wardrobe LLC,Social Security,PF
Wardrobe LLC,Employer Social Security,PF
Wardrobe LLC,Medicare,PF
Wardrobe LLC,Employer Medicare Tax,PF
Wardrobe LLC,Federal Unemployment Tax,PF
Wardrobe LLC,New York State Unemployment Tax,PF
Wardrobe LLC,New York Reemployment Fund,PF
Wardrobe LLC,NY State Disability Insurance (SDI),MT
Wardrobe LLC,New York State Withholdings Tax,PF
Wardrobe LLC,New York City Tax,PF
Wardrobe LLC,Additional Medicare,PF
Equiem USA LLC,,
Farist Installation Company,,
DeFY Sales LLC,,
Kukui Corporation,,
Monogram Orthopaedics Inc,Federal Income Tax,PF
Monogram Orthopaedics Inc,Social Security,PF
Monogram Orthopaedics Inc,Employer Social Security,PF
Monogram Orthopaedics Inc,Medicare,PF
Monogram Orthopaedics Inc,Employer Medicare Tax,PF
Monogram Orthopaedics Inc,Federal Unemployment Tax,PF
Monogram Orthopaedics Inc,New York State Unemployment Tax,PF
Monogram Orthopaedics Inc,New York Reemployment Fund,PF
Monogram Orthopaedics Inc,NY State Disability Insurance (SDI),MT
Monogram Orthopaedics Inc,New York State Withholdings Tax,PF
Monogram Orthopaedics Inc,New York City Tax,PF
Monogram Orthopaedics Inc,Additional Medicare,PF
Alluxio Inc,,
Electrical Solutions Corp,,
Memorandum Inc.,,
Wemersive Inc,,
Good World Communications,,
"Specialized Orthopedic Surgeons, Inc.",,
"Uvido, LLC",,
"Goddard Technologies, Inc.",,
Harmony Photography Inc.,,
HatchWorks Technologies Inc,,
Rhythm Music school,,
"Budding Alaska, LLC",,
Intelivideo,,
"Gorilla Marketing, Inc",,
The Well at Melody Hill,Indiana State Unemployment Insurance Tax,MT
"Elefante Group, Inc.",,
Sanaz Khavari DDS PLLC,,
"Shipbob, Inc.",,
Orrbitt Creative Group LLC,,
6d bytes inc.,,
"Rescale, Inc.",,
Selby Mitchell Limited LLC,,
Honey,,
"Sine Wave Electric, Inc.",,
Mike's Hot Honey,Federal Income Tax,PF
Mike's Hot Honey,Social Security,PF
Mike's Hot Honey,Employer Social Security,PF
Mike's Hot Honey,Medicare,PF
Mike's Hot Honey,Employer Medicare Tax,PF
Mike's Hot Honey,Federal Unemployment Tax,PF
Mike's Hot Honey,New York State Unemployment Tax,PF
Mike's Hot Honey,New York Reemployment Fund,PF
Mike's Hot Honey,New York State Withholdings Tax,PF
Mike's Hot Honey,New York City Tax,PF
Mike's Hot Honey,Additional Medicare,PF
Journey A Christian Church,,
Lucid Creative LLC,Washington Workers' Comp Insurance - Employer,PF
Lucid Creative LLC,WA Family and Medical Leave Insurance (Employee),MT
"Curv Group, LLC",,
"NanoView Biosciences, Inc.",,
21 Progress Washington,,
Bluemont LLC,,
Centriq Technology Inc.,,
Lash LLC,WA Family and Medical Leave Insurance (Employee),PF
Arha Diamond Inc,Federal Income Tax,PF
Arha Diamond Inc,Social Security,PF
Arha Diamond Inc,Employer Social Security,PF
Arha Diamond Inc,Medicare,PF
Arha Diamond Inc,Employer Medicare Tax,PF
Arha Diamond Inc,Federal Unemployment Tax,PF
Arha Diamond Inc,New York State Unemployment Tax,PF
Arha Diamond Inc,New York Reemployment Fund,PF
Arha Diamond Inc,New York State Withholdings Tax,PF
Arha Diamond Inc,New York City Tax,PF
Arha Diamond Inc,Additional Medicare,PF
Afia Inc,,
Hipcamp,Washington Workers' Comp Insurance - Employee,PF
Hipcamp,Washington Workers' Comp Insurance - Employer,PF
Hipcamp,WA Family and Medical Leave Insurance (Employer),PF
"Walkboard Technologies, LLC",,
Fabergeeze Salon Services,WA Family and Medical Leave Insurance (Employee),PF
Shot of Adrenaline LLC,California State Tax,PF
Shot of Adrenaline LLC,California State Unemployment Tax,PF
Shot of Adrenaline LLC,California Employment Training Tax,PF
Shot of Adrenaline LLC,CA state disability insurance,PF
Eracent Inc.,NJ State Unemployment Tax,MT
Eracent Inc.,NJ Workforce Development/Supplemental Work Force,MT
Eracent Inc.,New Jersey State Unemployment Insurance,MT
Eracent Inc.,NJ Family Leave Insurance,MT
Eracent Inc.,New Jersey State Disability Insurance,MT
Eracent Inc.,New Jersey Employer SDI,MT
Eracent Inc.,New Jersey State Tax,MT
Eracent Inc.,Pennsylvania Unemployment Insurance Tax,MT
Eracent Inc.,Pennsylvania Withholding Tax,MT
Eracent Inc.,Pennsylvania Unemployment Insurance Employee Contribution,MT
"Fleetwood Contracting Company, LLC",,
Coeus Health,,
SKUPOS INC,,
"KMZ New York, LLC",,
Riffyn Inc.,,
"Castaway Cellars, Inc",,
D2Creative,,
GC & S SANPACIFIC CO,,
Twin Coyotes Winery,,
"Disrupto, LLC",,
Cyber Safe Workforce LLC,,
Gigster Inc.,,
PsiKick Inc.,,
"Veritas Enterprises, Inc.",,
"OTA Insight, Inc.",,
su11 architecture&design pllc,,
Academic Dermatology & Cosmetic Surgery Center,,
"CoderPad, Inc.",,
Global Investment Management LLC,,
"Captura Group, Inc",,
Fritz Johnson Inc.,,
"Promenade Software, Inc.",,
"Altimeter Capital Management, LP",,
Patrick G Fleming Enterprises Inc.,,
"Autonomously, Inc.",,
Law Office of Mark Brown LLC,,
Animal Clinic of Arlington LLC,Federal Income Tax,PF
Animal Clinic of Arlington LLC,Social Security,PF
Animal Clinic of Arlington LLC,Employer Social Security,PF
Animal Clinic of Arlington LLC,Medicare,PF
Animal Clinic of Arlington LLC,Employer Medicare Tax,PF
Animal Clinic of Arlington LLC,Federal Unemployment Tax,PF
Animal Clinic of Arlington LLC,Virginia Income Tax,MT
Animal Clinic of Arlington LLC,Virginia Unemployment Insurance Tax,MT
"CyOne, Inc.",,
A Blake Golf Enterprises,,
"Pillar Technologies, Inc.",,
Go Moment Inc.,,
"Auto List, Inc.",,
Natalie Joy LLC,,
LifeChurch-Mundo de Fe,,
Trinnacle Capital Advisors LLC,,
"ERP Efficiency Experts, LLC",,
"Sarah Goodin Blondin, D.M.D, PLLC",WA Family and Medical Leave Insurance (Employee),PF
Escha Media Inc.,,
JW Motion and Stills Inc,,
HR Collaborative LLC,Michigan State Unemployment Tax,MT
HR Collaborative LLC,Michigan Obligation Assessment Tax,MT
"Eileen Meehan, LLC",,
Photonics Automation Spec. LLC,,
Hippo Reads LLC,,
D2C Distribution,California State Tax,PF
D2C Distribution,California State Unemployment Tax,PF
D2C Distribution,California Employment Training Tax,PF
D2C Distribution,CA state disability insurance,PF
D2C Distribution,Arizona State Unemployment Tax,MT
D2C Distribution,Arizona State Tax,MT
Atomic Brands Inc,,
"Alphonso, Inc.",,
Tom Dew,WA Family and Medical Leave Insurance (Employee),PF
"NW Injury & Rehab Center, P.S.",Federal Income Tax,PF
"NW Injury & Rehab Center, P.S.",Social Security,PF
"NW Injury & Rehab Center, P.S.",Employer Social Security,PF
"NW Injury & Rehab Center, P.S.",Medicare,PF
"NW Injury & Rehab Center, P.S.",Employer Medicare Tax,PF
"NW Injury & Rehab Center, P.S.",Federal Unemployment Tax,PF
"NW Injury & Rehab Center, P.S.",Washington State Unemployment Tax,PF
"NW Injury & Rehab Center, P.S.",Washington Employment Admin Fund,PF
"NW Injury & Rehab Center, P.S.",Washington Workers' Comp Insurance - Employee,PF
"NW Injury & Rehab Center, P.S.",Washington Workers' Comp Insurance - Employer,PF
"NW Injury & Rehab Center, P.S.",Additional Medicare,PF
"NW Injury & Rehab Center, P.S.",WA Family and Medical Leave Insurance (Employee),PF
"NW Injury & Rehab Center, P.S.",WA Family and Medical Leave Insurance (Employer),PF
Visible Sensors Inc.,,
MS Bioworks LLC,,
Kroll Consulting,OR State Unemployment Insurance Tax,MT
Kroll Consulting,Oregon Workers' Benefit Fund (Employer),MT
Kroll Consulting,Oregon Workers' Benefit Fund (Employee),MT
Kroll Consulting,Additional Medicare,PF
Kroll Consulting,OR Special Payroll Tax Offset,MT
"Voyage Auto, Inc.",,
Sagan Works Inc.,,
"EchoNous, Inc.",,
CrowdAmp Inc.,,
Chris Bagg Coaching Group,,
Edge Technology Consultants Inc,Social Security,PF
Edge Technology Consultants Inc,Employer Social Security,PF
Edge Technology Consultants Inc,Medicare,PF
Edge Technology Consultants Inc,Employer Medicare Tax,PF
Edge Technology Consultants Inc,Federal Unemployment Tax,PF
Edge Technology Consultants Inc,Texas State Unemployment Tax,PF
Edge Technology Consultants Inc,Additional Medicare,PF
Edge Technology Consultants Inc,Missouri Withholding Tax,MT
Edge Technology Consultants Inc,Withholding tax for Kansas City,MT
Impact wellness center,,
Blue Fish Aquarium LLC,,
PageOne NOW,,
Revfluence,California State Tax,PF
Revfluence,California State Unemployment Tax,PF
Revfluence,California Employment Training Tax,PF
Revfluence,CA state disability insurance,PF
Revfluence,Additional Medicare,PF
Revfluence,Colorado State Unemployment Insurance Tax,MT
Revfluence,Colorado State Withholding Tax,MT
Revfluence,"Denver OPT, for employees",MT
Revfluence,"Denver OPT, for employers",MT
Revfluence,North Carolina State Unemployment Tax,MT
Revfluence,North Carolina State Tax,MT
"One Concern, Inc.",,
New Politics,Massachusetts State Unemployment Tax,MT
New Politics,Massachusetts Workforce Training Fund,MT
New Politics,Massachusetts State Tax,MT
New Politics,"Washington, D.C. Unemployment Insurance Tax",MT
New Politics,DC Admin. Funding Assessment,MT
New Politics,Additional Medicare,PF
"Figma, Inc",,
JetClosing Inc,,
Deans homecare,Michigan State Unemployment Tax,MT
Deans homecare,Michigan Obligation Assessment Tax,MT
CTCHGC LLC.,,
Fluent Forever,Kentucky Service Capacity Upgrade Fund Surcharge Tax,MT
Fluent Forever,Warren County - OLTS,MT
Chill-N LLC,Federal Income Tax,PF
Chill-N LLC,Social Security,PF
Chill-N LLC,Employer Social Security,PF
Chill-N LLC,Medicare,PF
Chill-N LLC,Employer Medicare Tax,PF
Chill-N LLC,Federal Unemployment Tax,PF
Chill-N LLC,Florida State Unemployment Tax,MT
Chill-N LLC,Additional Medicare,PF
Talent Acquisition & Management Solutions,Maryland State Unemployment Insurance Tax,MT
Talent Acquisition & Management Solutions,Additional Medicare,PF
"EchoNous, Inc.",,
"Jupiter Intelligence, Inc.",,
"This Realm, Inc.",,
Jordan I Priess DDS PLLC,WA Family and Medical Leave Insurance (Employee),PF
Alchemy Limited LLC,,
"FUTURE FAMILY, INC.",Additional Medicare,PF
"FUTURE FAMILY, INC.","Denver OPT, for employers",MT
Glooko Inc,,
Inspire Environmental LLC,,
Next Level Church,Social Security,PF
Next Level Church,Employer Social Security,PF
Next Level Church,Medicare,PF
Next Level Church,Employer Medicare Tax,PF
Next Level Church,Massachusetts State Unemployment Tax,MT
Next Level Church,Massachusetts State Tax,MT
Next Level Church,Additional Medicare,PF
Katy Responds,,
