company_id,agency_mastertax_id,due_date,period_end,agency_name,agency_state,amendment
1405370341815481,MA0000-010,04/30/19,03/31/19,MA Division of Unemployment Assistance,MA,false
1405698991970554,MN0000-010,04/30/19,03/31/19,Unemployment Insurance Minnesota,MN,false
1409079755797035,CA0000-001,04/30/19,03/31/19,CA-EDD,CA,false
1409079692556069,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
1409944625125173,CA0000-001,07/31/19,06/30/19,CA-EDD,CA,false
7757616923481062,IL0000-010,04/30/19,03/31/19,Illinois Unemployment,IL,false
7757616923483332,WA0000-150,10/31/19,09/30/19,Department of Labor and Industries,WA,false
7757616923486168,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
1409079749239544,OR0000-001,04/30/19,03/31/19,Oregon Department of Revenue,OR,false
7757616923485801,PA9915-EIT,04/30/19,03/31/19,Lancaster Co. Tax Collection Bureau-EIT,PA,false
7757616923486168,MO0001-001,04/30/19,03/31/19,"City of Kansas City, Finance Department",MO,false
7757616923491595,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923499132,OH0000-010,04/30/19,03/31/19,Ohio Department of Job & Family Service,OH,false
7757616923486654,OH0000-010,04/30/19,03/31/19,Ohio Department of Job & Family Service,OH,false
7757616923493671,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923492380,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923493456,IL0000-001,04/30/19,03/31/19,Illinois Withholding,IL,false
7757616923491595,VA0000-010,04/30/19,03/31/19,Virginia Employment Commission,VA,false
7757616923493122,AZ0000-001,04/30/19,03/31/19,Arizona Withholding,AZ,false
7757616923493122,MN0000-001,04/30/19,03/31/19,Minnesota Dept. of Revenue,MN,false
7757616923493122,KS0000-010,04/30/19,03/31/19,Kansas Employment Security Fund,KS,false
7757616923495744,NJ0000-001,04/30/19,03/31/19,Gross Income Tax,NJ,false
7757616923501657,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923505163,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923509036,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923499132,VT0000-001,04/25/19,03/31/19,Vermont Department of Taxes,VT,false
7757616923501657,FL0000-010,04/30/19,03/31/19,Florida Department of Revenue,FL,false
7757616923506329,CO0000-010,04/30/19,03/31/19,Colorado State Treasurer,CO,false
1381203291765597,IL0000-001,04/30/19,03/31/19,Illinois Withholding,IL,false
1381203291765597,IL0000-010,04/30/19,03/31/19,Illinois Unemployment,IL,false
1381203291765597,WA0000-014,07/31/19,06/30/19,Washington - Family and Medical Leave Insurance,WA,false
1387157432099204,WA0000-014,07/31/19,06/30/19,Washington - Family and Medical Leave Insurance,WA,false
1364449739318000,OK0000-010,07/31/19,06/30/19,Oklahoma Employment Security Commission,OK,false
1364449739318000,PA9911-EIT,07/31/19,06/30/19,Allegheny Central Tax Collection,PA,false
1387157432099204,OR0000-001,07/31/19,06/30/19,Oregon Department of Revenue,OR,false
1389641286278750,MT0000-010,07/31/19,06/30/19,Unemployment Insurance Division,MT,false
1389832742650195,OR0000-001,07/31/19,06/30/19,Oregon Department of Revenue,OR,false
1400196143951434,CT0000-001,07/31/19,06/30/19,Commissioner of Revenue Services,CT,false
1402689898446659,NC0000-010,07/31/19,06/30/19,Division of Employment Security,NC,false
1409079749239544,WA0000-014,04/30/19,03/31/19,Washington - Family and Medical Leave Insurance,WA,false
1409079702838842,NJ0000-001,07/30/19,06/30/19,Gross Income Tax,NJ,false
7757616923484559,OK0000-010,07/31/19,06/30/19,Oklahoma Employment Security Commission,OK,false
1381203291765597,NY0000-001,09/04/19,09/30/19,New York Withholding,NY,false
1374778888419723,NY0000-001,10/03/19,09/30/19,New York Withholding,NY,false
1364449739318000,PA0000-001,10/31/19,09/30/19,Pennsylvania Department of Revenue,PA,false
1369946360961000,GA0000-001,10/31/19,09/30/19,Georgia Department of Revenue,GA,false
1375916692881069,UT0000-010,10/31/19,09/30/19,Department of Workforce Services,UT,false
1388709772733808,MA0000-010,10/31/19,09/30/19,MA Division of Unemployment Assistance,MA,false
1387157432099204,AZ0000-001,10/31/19,09/30/19,Arizona Withholding,AZ,false
1386533349360219,MA0000-010,10/31/19,09/30/19,MA Division of Unemployment Assistance,MA,false
1386533349360219,NJ0000-001,10/30/19,09/30/19,Gross Income Tax,NJ,false
1386533349360219,OK0000-010,10/31/19,09/30/19,Oklahoma Employment Security Commission,OK,false
1400196143951434,CT0000-010,10/31/19,09/30/19,"Administrator, Unemployment Compensation",CT,false
1405698991970554,WA0000-150,10/31/19,09/30/19,Department of Labor and Industries,WA,false
1405698991970554,WA0000-150,07/31/19,06/30/19,Department of Labor and Industries,WA,false
1403640602045234,GA0000-001,10/31/19,09/30/19,Georgia Department of Revenue,GA,false
1405467800273235,NY0000-001,10/31/19,09/30/19,New York Withholding,NY,false
1393188436277665,CO0080-051,10/31/19,09/30/19,City and County of Denver,CO,false
1381203291765597,NV0000-010,10/31/19,09/30/19,Nevada Employment Security Division,NV,false
1381203291765597,NJ0000-001,10/30/19,09/30/19,Gross Income Tax,NJ,false
1381203291765597,OR0000-001,10/31/19,09/30/19,Oregon Department of Revenue,OR,false
1407951510704335,CO0000-010,10/31/19,09/30/19,Colorado State Treasurer,CO,false
7757616923486328,NY0000-001,08/05/19,09/30/19,New York Withholding,NY,false
7757616923484559,OR0000-001,10/31/19,09/30/19,Oregon Department of Revenue,OR,false
1409772688731197,OR0000-001,10/31/19,09/30/19,Oregon Department of Revenue,OR,false
7757616923479248,WI0000-010,10/31/19,09/30/19,Wisconsin Department of Workforce Development,WI,false
7757616923482899,CO0000-010,10/31/19,09/30/19,Colorado State Treasurer,CO,false
7757616923486611,AZ0000-010,07/31/19,06/30/19,Arizona Unemployment,AZ,false
7757616923494621,DC0000-001,07/31/19,06/30/19,D.C. Treasurer,DC,false
7757616923495744,CT0000-010,07/31/19,06/30/19,"Administrator, Unemployment Compensation",CT,false
7757616923505163,KY0000-010,10/31/19,09/30/19,Division of Unemployment Insurance,KY,false
7757616923505163,MT0000-010,10/31/19,09/30/19,Unemployment Insurance Division,MT,false
7757616923505163,NJ0000-001,10/30/19,09/30/19,Gross Income Tax,NJ,false
7757616923498346,CO0000-010,10/31/19,09/30/19,Colorado State Treasurer,CO,false
7757616923501064,OR0000-001,10/31/19,09/30/19,Oregon Department of Revenue,OR,false
7757616923501064,MI0000-010,10/25/19,09/30/19,Unemployment Insurance Agency,MI,false
7757616923512855,AZ0000-001,10/31/19,09/30/19,Arizona Withholding,AZ,false
7757616923505981,FL0000-010,10/31/19,09/30/19,Florida Department of Revenue,FL,false
7757616923514851,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923520968,NY0000-010,04/30/19,03/31/19,New York Unemployment,NY,false
7757616923544750,NY0000-001,03/01/19,03/31/19,New York Withholding,NY,false
7757616923541455,IL0000-001,10/31/19,09/30/19,Illinois Withholding,IL,false
7757616923548885,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923548885,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923516939,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923526349,CA0000-001,07/31/19,06/30/19,CA-EDD,CA,false
7757616923519015,CO0000-010,04/30/19,03/31/19,Colorado State Treasurer,CO,false
7757616923516649,MA0000-010,04/30/19,03/31/19,MA Division of Unemployment Assistance,MA,false
7757616923527251,AL0000-001,04/30/19,03/31/19,Alabama Department of Revenue,AL,false
7757616923529230,LA0000-001,04/15/19,03/31/19,Department of Revenue and Taxation,LA,false
7757616923533069,GA0000-001,04/30/19,03/31/19,Georgia Department of Revenue,GA,false
7757616923533069,MA0000-010,04/30/19,03/31/19,MA Division of Unemployment Assistance,MA,false
7757616923536371,CA0000-001,07/31/19,06/30/19,CA-EDD,CA,false
7757616923536950,KS0000-010,04/30/19,03/31/19,Kansas Employment Security Fund,KS,false
7757616923537717,GA0000-001,04/30/19,03/31/19,Georgia Department of Revenue,GA,false
7757616923540207,MA0000-001,04/30/19,03/31/19,Commonwealth of Massachusetts,MA,false
7757616923542837,AZ0000-010,04/30/19,03/31/19,Arizona Unemployment,AZ,false
7757616923542817,NV0000-134,04/30/19,03/31/19,Nevada Department of Taxation,NV,false
7757616923551377,TX0000-010,10/31/19,09/30/19,TWC,TX,false
7757616923565516,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923568388,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923577192,NY0000-001,04/10/19,06/30/19,New York Withholding,NY,false
7757616923556321,TX0000-010,07/31/19,06/30/19,TWC,TX,false
7757616923559211,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923551023,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923550035,MI0000-010,04/25/19,03/31/19,Unemployment Insurance Agency,MI,false
7757616923549263,AZ0000-010,04/30/19,03/31/19,Arizona Unemployment,AZ,false
7757616923551377,MA0000-001,04/30/19,03/31/19,Commonwealth of Massachusetts,MA,false
7757616923555715,VT0000-001,04/25/19,03/31/19,Vermont Department of Taxes,VT,false
7757616923557948,DC0000-010,04/30/19,03/31/19,DCDOES,DC,false
7757616923562278,VA0000-010,04/30/19,03/31/19,Virginia Employment Commission,VA,false
7757616923562578,WA0000-014,07/31/19,03/31/19,Washington - Family and Medical Leave Insurance,WA,false
7757616923566161,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923568551,CA0000-001,10/31/19,09/30/19,CA-EDD,CA,false
7757616923570314,CA0000-001,04/30/19,03/31/19,CA-EDD,CA,false
7757616923570312,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923568058,PA9912-EIT,04/30/19,03/31/19,Allegheny Southwest Tax Collection,PA,false
7757616923571273,MA0000-010,04/30/19,03/31/19,MA Division of Unemployment Assistance,MA,false
7757616923574494,CO0000-010,04/30/19,03/31/19,Colorado State Treasurer,CO,false
7757616923574654,OR0000-001,04/30/19,03/31/19,Oregon Department of Revenue,OR,false
7757616923576207,PA0000-010,04/30/19,03/31/19,Pennsylvania UC Fund,PA,false
7757616923516649,CA0000-001,07/31/19,06/30/19,CA-EDD,CA,false
7757616923520968,OH0000-010,07/31/19,06/30/19,Ohio Department of Job & Family Service,OH,false
7757616923527697,WA0000-014,04/30/19,03/31/19,Washington - Family and Medical Leave Insurance,WA,false
7757616923533069,NY0000-001,06/05/19,06/30/19,New York Withholding,NY,false
7757616923526349,CT0000-010,07/31/19,06/30/19,"Administrator, Unemployment Compensation",CT,false
7757616923530212,FL0000-010,07/31/19,06/30/19,Florida Department of Revenue,FL,false
7757616923540941,WA0000-014,10/31/19,09/30/19,Washington - Family and Medical Leave Insurance,WA,false
7757616923546725,WA0000-014,10/31/19,09/30/19,Washington - Family and Medical Leave Insurance,WA,false
7757616923536371,MD0000-010,07/31/19,06/30/19,Maryland Unemployment Insurance Fund,MD,false
7757616923543060,HI0000-001,07/15/19,06/30/19,Hawaii State Tax Collector,HI,false
7757616923542602,IN0000-010,07/31/19,06/30/19,Department of Workforce Development,IN,false
7757616923542817,DC0000-010,07/31/19,06/30/19,DCDOES,DC,false
7757616923542817,PA9914-EIT,07/31/19,06/30/19,Keystone Collections Group - EIT,PA,false
7757616923548885,CO0000-010,07/31/19,06/30/19,Colorado State Treasurer,CO,false
7757616923548885,KY0247-138,07/31/19,06/30/19,Louisville/Jefferson  Metro Revenue Com.,KY,false
7757616923515197,NY0000-001,10/31/19,09/30/19,New York Withholding,NY,false
7757616923519015,MO0000-010,10/31/19,09/30/19,MO Department of Labor and Industrial Relations,MO,false
7757616923526319,CA0000-001,04/30/19,03/31/19,CA-EDD,CA,false
7757616923528618,TX0000-010,10/31/19,09/30/19,TWC,TX,false
7757616923526349,SC0000-010,10/31/19,09/30/19,S.C. Dept. of Employment and Workforce,SC,false
7757616923530212,SC0000-001,10/31/19,09/30/19,S.C. Department of Revenue,SC,false
7757616923540250,AZ0000-001,10/31/19,09/30/19,Arizona Withholding,AZ,false
7757616923534516,CO0000-010,10/31/19,09/30/19,Colorado State Treasurer,CO,false
7757616923542817,UT0000-001,10/31/19,09/30/19,State Tax Commission,UT,false
7757616923542817,SD0000-010,10/31/19,09/30/19,SD Reemployment Assistance,SD,false
7757616923555715,VT0000-010,07/31/19,06/30/19,Vermont Department of Labor,VT,false
7757616923549263,PA9914-EIT,07/31/19,06/30/19,Keystone Collections Group - EIT,PA,false
7757616923551670,AZ0000-010,07/31/19,06/30/19,Arizona Unemployment,AZ,false
7757616923559989,OR0000-001,07/31/19,06/30/19,Oregon Department of Revenue,OR,false
7757616923557948,DC0000-010,07/31/19,06/30/19,DCDOES,DC,false
7757616923575404,NY0000-010,10/31/19,09/30/19,New York Unemployment,NY,false
7757616923576142,ME0000-010,07/31/19,06/30/19,Maine Department of Labor,ME,false
7757616923550803,OR0000-001,10/31/19,09/30/19,Oregon Department of Revenue,OR,false
7757616923558460,FL0000-010,10/31/19,09/30/19,Florida Department of Revenue,FL,false
7757616923551377,MO0001-001,10/31/19,09/30/19,"City of Kansas City, Finance Department",MO,false
7757616923554836,PA0000-010,10/31/19,09/30/19,Pennsylvania UC Fund,PA,false
7757616923567029,NY0000-001,10/03/19,09/30/19,New York Withholding,NY,false
7757616923601812,WA0000-150,07/31/19,06/30/19,Department of Labor and Industries,WA,false
7757616923595615,CA0000-001,07/31/19,06/30/19,CA-EDD,CA,false
7757616923598979,IL0000-001,10/31/19,09/30/19,Illinois Withholding,IL,false
7757616923599019,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923617840,CA0000-001,07/31/19,06/30/19,CA-EDD,CA,false
7757616923607237,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923617323,CA0000-001,04/30/19,03/31/19,CA-EDD,CA,false
7757616923618093,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923620800,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923620997,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923622954,CA0000-001,04/30/19,03/31/19,CA-EDD,CA,false
7757616923634274,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923627253,IL0000-010,04/30/19,03/31/19,Illinois Unemployment,IL,false
7757616923628607,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923631438,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923631604,CA0000-001,10/31/19,09/30/19,CA-EDD,CA,false
7757616923631780,TX0000-010,10/31/19,09/30/19,TWC,TX,false
7757616923633141,NY0000-010,07/31/19,06/30/19,New York Unemployment,NY,false
7757616923637711,IL0000-001,10/31/19,09/30/19,Illinois Withholding,IL,false
1386533349360219,WA0000-010,07/31/19,06/30/19,WA State Employment Security Department,WA,false
1386533349360219,TX0000-010,04/30/19,03/31/19,TWC,TX,false
7757616923484559,TX0000-010,10/31/19,09/30/19,TWC,TX,false
7757616923481871,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923483583,FE0000-001,10/31/19,09/30/19,Internal Revenue Service,,false
7757616923484065,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923484065,TX0000-010,04/30/19,03/31/19,TWC,TX,false
7757616923484197,CA0000-001,04/30/19,03/31/19,CA-EDD,CA,false
1393188436277665,NY0000-001,01/18/19,03/31/19,New York Withholding,NY,false
7757616923523258,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923533069,CA0000-001,07/31/19,06/30/19,CA-EDD,CA,false
7757616923536950,FE0000-001,07/31/19,06/30/19,Internal Revenue Service,,false
7757616923554836,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
7757616923550035,IL0000-001,10/31/19,09/30/19,Illinois Withholding,IL,false
7757616923552699,FE0000-001,04/30/19,03/31/19,Internal Revenue Service,,false
1393188436277665,NY0000-001,03/25/19,03/31/19,New York Withholding,NY,false
1364449739318000,OH0000-010,10/31/19,09/30/19,Ohio Department of Job & Family Service,OH,false
1393188436277665,CA0000-001,10/31/19,09/30/19,CA-EDD,CA,false
