Company,Panda Link,Tax Name,Master Tax ID,Original Subject Wages,Original Gross Subject Wages,Original Amount,Corrected Subject Wages,Corrected Gross Subject Wages,Corrected Amount,Payment Amount,Comments,Unique ID,Period Requested,Y / Q,Tier,Wage diff,Gross wage diff,Tax Diff,Prepaid?,Type,Tax Lib,MasterTax Major,MT Paper/Efile,Reviewer,Week,Start Time,End Time,Status,Payment Made?,Fake News?,Notes,Root Cause,Helper,TRes
4theweb,https://app.gusto.com/panda/companies/7757616923506329,Colorado State Unemployment Insurance Tax,CO0000-010,"$3,668.00","$3,668.00",$90.60,"$4,550.00","$4,550.00",$112.39,$21.79,"Amendment required to move over reported wages in NV to CO due to incorrect address during payroll.  (todd.dowdy@gusto.com at Apr 30, 2019 at 11:55 AM)",2019143585.4923611111CO0000-0107757616923506329,4/26/2019,2019 1,Tier 2,$882.00,$882.00,$21.79,No,SW increase,"Administrative error, employee payroll was not included on the original return",CO0000-010,Manual,Helper,12/9/2019,,12/14/2019,Done,No,Yes,Wage correction was reversed out for net 0 change,State Tax,Maggie,33.0
4theweb,https://app.gusto.com/panda/companies/7757616923506329,Nevada Career Enhancement Program,NV0000-131,$882.00,$882.00,$0.44,$0.00,$0.00,$0.00,$0.00,"Amendment required to move over reported wages in NV to CO due to incorrect address during payroll.  (todd.dowdy@gusto.com at Apr 30, 2019 at 11:55 AM)",2019143585.4923611111NV0000-0107757616923506329,4/26/2019,2019 1,Tier 1,-$882.00,-$882.00,-$0.44,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",NV0000-010,Paper,Helper,12/9/2019,,,"In Progress,Need Import",No,No,MT- RTS?,State Tax,Ben,
"6 River Systems, Inc.",https://app.gusto.com/panda/companies/7757616923540207,Massachusetts Workforce Training Fund,MA0000-128,"$165,102.18","$3,306,394.80",$92.46,"$168,632.95","$3,309,925.57",$93.89,$0.00,,2019243705.5902777778MA0000-0107757616923540207,8/23/2019,2019 2,Tier 4,"$3,530.77","$3,530.77",$1.43,Yes,SW increase,"Administrative error, employee payroll was not included on the original return",MA0000-010,e-File,Esther,12/9/2019,,12/11/2019,Done,No,No,00102976_12111917300,Reversal,,15.0
"6 River Systems, Inc.",https://app.gusto.com/panda/companies/7757616923540207,Massachusetts State Tax,MA0000-001,"$3,042,449.91","$3,042,449.91","$146,567.45","$3,045,922.10","$3,045,922.10","$146,718.02",$0.00,,2019243705.5902777778MA0000-0017757616923540207,8/23/2019,2019 2,Tier 1,"$3,472.19","$3,472.19",$150.57,Yes,SW increase,"Administrative error, employee payroll was not included on the original return",MA0000-001,Hand Key,Sonia,12/9/2019,,12/11/2019,Done,No,No,0-439-041-920,External,,15.0
"6 River Systems, Inc.",https://app.gusto.com/panda/companies/7757616923540207,Massachusetts State Unemployment Tax,MA0000-010,"$165,102.18","$3,306,394.80","$6,670.14","$168,632.95","$3,309,925.57","$6,773.00",$0.00,,2019243705.5902777778MA0000-0107757616923540207,8/23/2019,2019 2,Tier 4,"$3,530.77","$3,530.77",$102.86,Yes,SW increase,"Administrative error, employee payroll was not included on the original return",MA0000-010,e-File,Esther,12/9/2019,,12/11/2019,Done,No,No,00102976_12111917300,Reversal,,15.0
"6 River Systems, Inc.",https://app.gusto.com/panda/companies/7757616923540207,Massachusetts Employer Medical Assistance Contributions,MA0000-017,"$280,742.24","$3,544,504.46",$505.32,"$274,934.55","$3,538,696.77",$494.87,$0.00,"\Mark company return for Q3 2019 as needing amendment\ Two employees were exempted from FICA taxes, which were included within Q3. Processed corrections to get those amounts out and now marking for amendment.   (tattie.petts@gusto.com at Oct 11, 2019 at 10:44 AM)",2019343749.4444444444MA0000-0107757616923540207,10/11/2019,2019 3,Tier 4,"-$5,807.69","-$5,807.69",-$10.45,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",MA0000-010,e-File,Esther,12/9/2019,,12/11/2019,Done,No,Yes,only EMAC change,Other,,8.0
"7 CUPS OF TEA, CO",https://app.gusto.com/panda/companies/7757616923667174,Connecticut State Unemployment Tax,CT0000-010,$0.00,$0.00,$0.00,"$12,974.35","$12,974.35",$441.12,$441.12,"Wages for Luyi Zhang were reallocated from CA to CT 03267861 (nini.berndt@gusto.com at Aug 27, 2019 at 10:00 AM)",2019143704.3756944445CT0000-0107757616923667174,8/23/2019,2019 1,Tier 3,"$12,974.35","$12,974.35",$441.12,No,SW increase,"Administrative error, employee payroll was not included on the original return",CT0000-010,Paper,Maddy,12/9/2019,,12/11/2019,Done,No,Yes,"no original, refunded debited funds
",State Tax,,15.0
"7 CUPS OF TEA, CO",https://app.gusto.com/panda/companies/7757616923667174,Connecticut State Unemployment Tax,CT0000-010,$0.00,$0.00,$0.00,"$2,025.65","$27,499.98",$68.87,$68.87,"Wages for Luyi Zhang were reallocated from CA to CT 03267861 (nini.berndt@gusto.com at Aug 27, 2019 at 10:01 AM)",2019243704.3805555556CT0000-0107757616923667174,8/23/2019,2019 2,Tier 3,"$2,025.65","$27,499.98",$68.87,No,SW increase,"Administrative error, employee payroll was not included on the original return",CT0000-010,Paper,Maddy,12/9/2019,,12/11/2019,Done,No,Yes,"no ooriginal, refunded
",State Tax,,15.0
10% Happier,https://app.gusto.com/panda/companies/1409079749239544,Vermont Unemployment Insurance Tax,VT0000-010,"$4,479.19","$6,207.88",$44.80,"$7,017.94","$8,746.63",$70.19,$25.39,"Quarter 2 New Hampshire and Vermont amendments needed as result of incorrect address. Employee should have been listed as working out of Vermont effective start of Quarter 1 (mike.klein@gusto.com at Jul 11, 2019 at  9:42 AM)",2019243657.4VT0000-0101409079749239544,7/5/2019,2019 2,Tier 1,"$2,538.75","$2,538.75",$25.39,No,SW increase,"Administrative error, employee payroll was not included on the original return",VT0000-010,Paper,Helper,12/9/2019,,,,,,,,,
10% Happier,https://app.gusto.com/panda/companies/1409079749239544,Vermont Unemployment Insurance Tax,VT0000-010,$0.00,$0.00,$0.00,"$8,582.06","$8,582.06",$85.82,$85.82,"Quarter 1 New Hampshire amendments needed as result of incorrect address. Employee should have been listed as working out of Vermont. Will be manually filing Vermont returns online.  (mike.klein@gusto.com at Jul 11, 2019 at  9:41 AM)",2019143657.3986111111VT0000-0101409079749239544,7/5/2019,2019 1,Tier 1,"$8,582.06","$8,582.06",$85.82,No,SW increase,"Administrative error, employee payroll was not included on the original return",VT0000-010,Paper,Helper,12/9/2019,,,,,,,,,
10% Happier,https://app.gusto.com/panda/companies/1409079749239544,Vermont Withholding Tax,VT0000-001,$0.00,$0.00,$0.00,"$8,582.06","$8,582.06",$0.00,$0.00,"Quarter 1 New Hampshire amendments needed as result of incorrect address. Employee should have been listed as working out of Vermont. Will be manually filing Vermont returns online.  (mike.klein@gusto.com at Jul 11, 2019 at  9:41 AM)",2019143657.3986111111VT0000-0011409079749239544,7/5/2019,2019 1,Tier 1,"$8,582.06","$8,582.06",$0.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",VT0000-001,e-File,Garrett,12/9/2019,,12/9/2019,Done,No,Yes,No og filing ,Reversal,,22.0
10% Happier,https://app.gusto.com/panda/companies/1409079749239544,New Hampshire Unemployment Insurance Tax.,NH0000-010,"$8,582.06","$8,582.06",$60.08,$0.00,$0.00,$0.00,$0.00,"Quarter 1 New Hampshire amendments needed as result of incorrect address. Employee should have been listed as working out of Vermont. Will be manually filing Vermont returns online.  (mike.klein@gusto.com at Jul 11, 2019 at  9:41 AM)",2019143657.3986111111NH0000-0101409079749239544,7/5/2019,2019 1,Tier 1,"-$8,582.06","-$8,582.06",-$60.08,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",NH0000-010,Paper,Logan,12/9/2019,,,,,,,,,
10% Happier,https://app.gusto.com/panda/companies/1409079749239544,Vermont Withholding Tax,VT0000-001,"$6,207.88","$6,207.88",$167.07,"$8,746.63","$8,746.63",$167.07,$0.00,"Quarter 2 New Hampshire and Vermont amendments needed as result of incorrect address. Employee should have been listed as working out of Vermont effective start of Quarter 1 (mike.klein@gusto.com at Jul 11, 2019 at  9:42 AM)",2019243657.4VT0000-0011409079749239544,7/5/2019,2019 2,Tier 1,"$2,538.75","$2,538.75",$0.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",VT0000-001,e-File,Garrett,12/9/2019,,12/9/2019,Done,No,No,0-044-765-696,State Tax,,22.0
10% Happier,https://app.gusto.com/panda/companies/1409079749239544,New Hampshire Administrative Contribution (AC) Tax.,NH0000-128,"$8,582.06","$8,582.06",$17.17,$0.00,$0.00,$0.00,$0.00,"Quarter 1 New Hampshire amendments needed as result of incorrect address. Employee should have been listed as working out of Vermont. Will be manually filing Vermont returns online.  (mike.klein@gusto.com at Jul 11, 2019 at  9:41 AM)",2019143657.3986111111NH0000-0101409079749239544,7/5/2019,2019 1,Tier 1,"-$8,582.06","-$8,582.06",-$17.17,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",NH0000-010,Paper,Logan,12/9/2019,,,,,,,,,
10% Happier,https://app.gusto.com/panda/companies/1409079749239544,New Hampshire Unemployment Insurance Tax.,NH0000-010,"$2,538.75","$2,538.75",$17.77,$0.00,$0.00,$0.00,$0.00,"Quarter 2 New Hampshire and Vermont amendments needed as result of incorrect address. Employee should have been listed as working out of Vermont effective start of Quarter 1 (mike.klein@gusto.com at Jul 11, 2019 at  9:42 AM)",2019243657.4NH0000-0101409079749239544,7/5/2019,2019 2,Tier 1,"-$2,538.75","-$2,538.75",-$17.77,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",NH0000-010,Paper,Logan,12/9/2019,,,,,,,,,
10% Happier,https://app.gusto.com/panda/companies/1409079749239544,New Hampshire Administrative Contribution (AC) Tax.,NH0000-128,"$2,538.75","$2,538.75",$5.08,$0.00,$0.00,$0.00,$0.00,"Quarter 2 New Hampshire and Vermont amendments needed as result of incorrect address. Employee should have been listed as working out of Vermont effective start of Quarter 1 (mike.klein@gusto.com at Jul 11, 2019 at  9:42 AM)",2019243657.4NH0000-0101409079749239544,7/5/2019,2019 2,Tier 1,"-$2,538.75","-$2,538.75",-$5.08,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",NH0000-010,Paper,Logan,12/9/2019,,,,,,,,,
20schemes,https://app.gusto.com/panda/companies/7757616923714239,Kentucky Unemployment Tax,KY0000-010,"$31,743.96","$31,953.96",$134.94,$0.00,$0.00,$0.00,$0.00,"02853267 - Company was listed as not exempt within the account and should have been. AWC run to correct the lack of exemption (jackson.cox@gusto.com at Apr 23, 2019 at  4:11 PM)",2019143578.5298611111KY0000-0107757616923714239,4/19/2019,2019 1,Tier 1,"-$31,743.96","-$31,953.96",-$134.94,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",KY0000-010,Paper,Logan,12/9/2019,,,,,,,,,
53 Hyde Park LLC,https://app.gusto.com/panda/companies/7757616923703148,"Denver OPT, for employees",CO0080-051,$0.00,"$30,000.00",$11.50,$0.00,"$45,000.00",$17.25,$5.75,,2019343749.5701388889CO0080-0517757616923703148,10/11/2019,2019 3,Tier 3,$0.00,"$15,000.00",$5.75,No,SW increase,"Administrative error, employee payroll was not included on the original return",CO0080-051,Manual,,,,,,,,,,,
53 Hyde Park LLC,https://app.gusto.com/panda/companies/7757616923703148,"Denver OPT, for employers",CO0080-137,$0.00,"$30,000.00",$20.00,$0.00,"$45,000.00",$24.00,$4.00,,2019343749.5701388889CO0080-0517757616923703148,10/11/2019,2019 3,Tier 3,$0.00,"$15,000.00",$4.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",CO0080-051,Manual,,,,,,,,,,,
80 Acres Urban Agriculture,https://app.gusto.com/panda/companies/7757616923567762,Arkansas Unemployment Insurance Tax,AR0000-010,"$146,125.91","$247,360.42","$4,822.21","$152,806.79","$254,041.30","$5,042.68",$0.00,,2019143663.4222222222AR0000-0107757616923567762,7/12/2019,2019 1,Tier 1,"$6,680.88","$6,680.88",$220.47,Yes,SW increase,"Administrative error, employee payroll was not included on the original return",AR0000-010,Paper,Ben,12/9/2019,,,"Need Import,In Progress",No,No,MT- RTS?,External,,
80 Acres Urban Agriculture,https://app.gusto.com/panda/companies/7757616923567762,Arkansas Withholding Tax,AR0000-001,"$247,360.42","$247,360.42","$12,212.13","$254,041.30","$254,041.30","$12,212.13",$0.00,,2019143663.4222222222AR0000-0017757616923567762,7/12/2019,2019 1,Tier 3,"$6,680.88","$6,680.88",$0.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",AR0000-001,Manual,,,,,,,,,,,
80 Acres Urban Agriculture,https://app.gusto.com/panda/companies/7757616923567762,North Carolina State Unemployment Tax,NC0000-010,"$231,808.68","$250,585.63","$2,688.69","$247,081.92","$265,858.87","$2,841.44",$0.00,,2019143663.4222222222NC0000-0107757616923567762,7/12/2019,2019 1,Tier 1,"$15,273.24","$15,273.24",$152.75,Yes,SW increase,"Administrative error, employee payroll was not included on the original return",NC0000-010,Paper,Ben,12/9/2019,,,"In Progress,Need Import",No,No,MT- RTS?,External,,
80 Acres Urban Agriculture,https://app.gusto.com/panda/companies/7757616923567762,North Carolina State Tax,NC0000-001,"$250,585.63","$250,585.63","$10,203.00","$265,858.87","$265,858.87","$10,203.00",$0.00,,2019143663.4222222222NC0000-0017757616923567762,7/12/2019,2019 1,Tier 3,"$15,273.24","$15,273.24",$0.00,No,SW increase,"Administrative error, employee payroll was not included on the original return",NC0000-001,Paper,Baker,12/9/2019,,12/11/2019,Done,No,No,sent 12/12,External,,21.0
101 Management Inc.,https://app.gusto.com/panda/companies/7757616923761453,Florida State Unemployment Tax,FL0000-010,$0.00,$0.00,$0.00,"$6,400.00","$6,400.00",$172.80,$0.00,,2019243727.4152777778FL0000-0107757616923761453,9/13/2019,2019 2,Tier 1,"$6,400.00","$6,400.00",$172.80,Yes,SW increase,"Administrative error, employee payroll was not included on the original return",FL0000-010,Paper,Maddy,12/2/2019,,12/6/2019,Done,No,No,Done,State Tax,,12.0
101 Management Inc.,https://app.gusto.com/panda/companies/7757616923761453,Florida State Unemployment Tax,FL0000-010,,,,,,,,,,,2019 2,Tier 1,,,,,,,FL0000-010,Paper,Maddy,12/9/2019,,12/9/2019,Done,No,No,Done,State Tax,,#ERROR!
1810 Stephens LLC,https://app.gusto.com/panda/companies/7757616923756313,OR State Unemployment Insurance Tax,OR0000-010,"$37,883.03","$37,883.03",$909.19,"$46,119.35","$46,119.35","$1,106.86",$197.67,"Added in missed payroll for 8 employees 03371068 (laurel.jackson@gusto.com at Sep 04, 2019 at  7:22 AM)",2019243712.3034722222OR0000-9007757616923756313,8/30/2019,2019 2,Tier 2,"$8,236.32","$8,236.32",$197.67,No,SW increase,"Administrative error, employee payroll was not included on the original return",OR0000-900,Paper,Dan,12/9/2019,,12/13/2019,Done,Yes,No,217116648,External,,15.0
1810 Stephens LLC,https://app.gusto.com/panda/companies/7757616923756313,Oregon State Withholding Tax,OR0000-001,"$37,883.03","$37,883.03","$2,051.00","$46,119.35","$46,119.35","$2,508.53",$457.53,"Added in missed payroll for 8 employees 03371068 (laurel.jackson@gusto.com at Sep 04, 2019 at  7:22 AM)",2019243712.3034722222OR0000-9007757616923756313,8/30/2019,2019 2,Tier 2,"$8,236.32","$8,236.32",$457.53,No,SW increase,"Administrative error, employee payroll was not included on the original return",OR0000-900,Paper,Dan,12/9/2019,,12/13/2019,Done,Yes,No,217116647,External,,15.0
1810 Stephens LLC,https://app.gusto.com/panda/companies/7757616923756313,Oregon Workers' Benefit Fund (Employer),OR0000-148,$0.00,$0.00,$29.00,$0.00,$0.00,$33.60,$4.60,"Added in missed payroll for 8 employees 03371068 (laurel.jackson@gusto.com at Sep 04, 2019 at  7:22 AM)",2019243712.3034722222OR0000-9007757616923756313,8/30/2019,2019 2,Tier 2,$0.00,$0.00,$4.60,No,No SW change,No SW change,OR0000-900,Paper,Dan,12/9/2019,,12/13/2019,Done,Yes,No,217116650,External,,15.0
1810 Stephens LLC,https://app.gusto.com/panda/companies/7757616923756313,Oregon Employee Statewide Transit Tax,OR0000-135,"$37,883.03","$37,883.03",$37.91,"$46,119.35","$46,119.35",$46.12,$8.21,"Added in missed payroll for 8 employees 03371068 (laurel.jackson@gusto.com at Sep 04, 2019 at  7:22 AM)",2019243712.3034722222OR0000-1357757616923756313,8/30/2019,2019 2,Tier 3,"$8,236.32","$8,236.32",$8.21,No,SW increase,"Administrative error, employee payroll was not included on the original return",OR0000-135,Paper,Ryan,12/9/2019,,12/11/2019,Done,Yes,No,External added to make up for missing payroll.,External,,14.0
1810 Stephens LLC,https://app.gusto.com/panda/companies/7757616923756313,Oregon Workers' Benefit Fund (Employee),OR0000-145,$0.00,$0.00,$29.00,$0.00,$0.00,$33.60,$4.60,"Added in missed payroll for 8 employees 03371068 (laurel.jackson@gusto.com at Sep 04, 2019 at  7:22 AM)",2019243712.3034722222OR0000-9007757616923756313,8/30/2019,2019 2,Tier 2,$0.00,$0.00,$4.60,No,No SW change,No SW change,OR0000-900,Paper,Dan,12/9/2019,,12/13/2019,Done,Yes,No,DP ID: 1289948,External,,15.0
A Better Day Counseling LLC,https://app.gusto.com/panda/companies/7757616923676536,Georgia State Unemployment Tax,GA0000-010,"$19,231.31","$21,956.31",$507.70,"$19,131.31","$21,856.31",$505.06,$0.00,"Amending filing due to removing imputed pay benefits, reducing subject wages for Federal and State Income Tax  (02936705) (toni.gibbs@gusto.com at May 13, 2019 at 10:26 AM)",2019143598.4055555556GA0000-0107757616923676536,5/10/2019,2019 1,Tier 1,-$100.00,-$100.00,-$2.64,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",GA0000-010,Paper,Baker,12/2/2019,,12/6/2019,Done,No,No,sent 12/10,Reversal,,30.0
A Better Day Counseling LLC,https://app.gusto.com/panda/companies/7757616923676536,Georgia State Tax,GA0000-001,"$21,656.31","$21,656.31",$838.79,"$21,556.31","$21,556.31",$838.79,$0.00,"Amending filing due to removing imputed pay benefits, reducing subject wages for Federal and State Income Tax  (02936705) (toni.gibbs@gusto.com at May 13, 2019 at 10:26 AM)",2019143598.4055555556GA0000-0017757616923676536,5/10/2019,2019 1,Tier 2,-$100.00,-$100.00,$0.00,No,SW reduction,"Employee was overpaid wages, funds have been recouped",GA0000-001,Hand Key,Garrett,12/9/2019,,12/11/2019,Done,No,Yes,No change in TW ,Benefit,,30.0
A Better Day Counseling LLC,https://app.gusto.com/panda/companies/7757616923676536,Georgia Administrative Assessment Tax,GA0000-128,"$19,231.31","$21,956.31",$11.53,"$19,131.31","$21,856.31",$11.47,$0.00,"Amending filing due to removing imputed pay benefits, reducing subject wages for Federal and State Income Tax  (02936705) (toni.gibbs@gusto.com at May 13, 2019 at 10:26 AM)",2019143598.4055555556GA0000-0107757616923676536,5/10/2019,2019 1,Tier 1,-$100.00,-$100.00,-$0.06,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",GA0000-010,Paper,Baker,12/2/2019,,12/6/2019,Done,No,No,sent 12/10,Reversal,,30.0
A Better Day Counseling LLC,https://app.gusto.com/panda/companies/7757616923676536,Georgia State Unemployment Tax,GA0000-010,"$8,484.17","$28,418.19",$223.99,"$8,459.17","$28,368.19",$223.33,$0.00,"\Mark company return for Q2 2019 as needing amendment\ Marking Q2 2019 for amendment as a result of removing company contributions for 3 employees from the Gradifi imputed pay benefit.   (baird.davis@gusto.com at Oct 10, 2019 at  2:38 PM)",2019243748.6097222222GA0000-0107757616923676536,10/4/2019,2019 2,Tier 1,-$25.00,-$50.00,-$0.66,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",GA0000-010,Paper,Baker,12/2/2019,,12/6/2019,Done,No,No,sent 12/10,Reversal,,9.0
A Better Day Counseling LLC,https://app.gusto.com/panda/companies/7757616923676536,Georgia State Tax,GA0000-001,"$28,068.19","$28,068.19","$1,061.36","$28,018.19","$28,018.19","$1,061.36",$0.00,"\Mark company return for Q2 2019 as needing amendment\ Marking Q2 2019 for amendment as a result of removing company contributions for 3 employees from the Gradifi imputed pay benefit.   (baird.davis@gusto.com at Oct 10, 2019 at  2:38 PM)",2019243748.6097222222GA0000-0017757616923676536,10/4/2019,2019 2,Tier 2,-$50.00,-$50.00,$0.00,No,SW reduction,"Employee was overpaid wages, funds have been recouped",GA0000-001,Hand Key,Garrett,12/9/2019,,12/11/2019,Done,No,Yes,No change in TW ,Benefit,,9.0
A Better Day Counseling LLC,https://app.gusto.com/panda/companies/7757616923676536,South Carolina State Unemployment Insurance Surcharge,SC0000-128,"$1,027.00","$1,027.00",$0.62,"$1,002.00","$1,002.00",$0.61,$0.00,"\Mark company return for Q2 2019 as needing amendment\ Marking Q2 2019 for amendment as a result of removing company contributions for 3 employees from the Gradifi imputed pay benefit.   (baird.davis@gusto.com at Oct 10, 2019 at  2:38 PM)",2019243748.6097222222SC0000-0107757616923676536,10/4/2019,2019 2,Tier 2,-$25.00,-$25.00,-$0.01,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",SC0000-010,Paper,Baker,12/2/2019,,12/6/2019,Needs Printing,No,No,need to print,Reversal,,9.0
A Better Day Counseling LLC,https://app.gusto.com/panda/companies/7757616923676536,Georgia Administrative Assessment Tax,GA0000-128,"$8,484.17","$28,418.19",$5.11,"$8,459.17","$28,368.19",$5.09,$0.00,"\Mark company return for Q2 2019 as needing amendment\ Marking Q2 2019 for amendment as a result of removing company contributions for 3 employees from the Gradifi imputed pay benefit.   (baird.davis@gusto.com at Oct 10, 2019 at  2:38 PM)",2019243748.6097222222GA0000-0107757616923676536,10/4/2019,2019 2,Tier 1,-$25.00,-$50.00,-$0.02,Reversal,SW reduction,"Employee was overpaid wages, funds have been recouped",GA0000-010,Paper,Baker,12/2/2019,,12/6/2019,Done,No,No,sent 12/10,Reversal,,9.0
